MIC,ADJUSTED_MIC,DRUG,SPECIES
0.19,0.19,PEN,NG
0.38,0.38,PEN,NG
0.19,0.19,PEN,NG
0.38,0.38,PEN,NG
32,8,PEN,NG
32,8,PEN,NG
32,8,PEN,COMMENSAL
0.38,0.38,PEN,COMMENSAL
0.25,0.25,PEN,COMMENSAL
0.75,0.75,PEN,COMMENSAL
1.5,1.5,PEN,COMMENSAL
0.25,0.25,PEN,COMMENSAL
1.5,1.5,PEN,COMMENSAL
3,3,PEN,COMMENSAL
0.25,0.25,PEN,COMMENSAL
0.38,0.38,PEN,COMMENSAL
1.5,1.5,PEN,COMMENSAL
3,3,PEN,COMMENSAL
1,1,PEN,COMMENSAL
1.5,1.5,PEN,COMMENSAL
1,1,PEN,COMMENSAL
0.38,0.38,PEN,COMMENSAL
1,1,PEN,COMMENSAL
0.32,0.32,PEN,COMMENSAL
0.19,0.19,PEN,COMMENSAL
0.094,0.094,PEN,COMMENSAL
0.004,0.004,CRO,NG
0.016,0.016,CRO,NG
0.006,0.006,CRO,NG
0.047,0.047,CRO,NG
0.016,0.016,CRO,NG
0.008,0.008,CRO,NG
16,8,CRO,COMMENSAL
0.094,0.094,CRO,COMMENSAL
0.094,0.094,CRO,COMMENSAL
0.023,0.023,CRO,COMMENSAL
0.047,0.047,CRO,COMMENSAL
0.008,0.008,CRO,COMMENSAL
0.064,0.064,CRO,COMMENSAL
0.047,0.047,CRO,COMMENSAL
0.032,0.032,CRO,COMMENSAL
0.023,0.023,CRO,COMMENSAL
0.019,0.019,CRO,COMMENSAL
0.25,0.25,CRO,COMMENSAL
0.032,0.032,CRO,COMMENSAL
0.125,0.125,CRO,COMMENSAL
0.047,0.047,CRO,COMMENSAL
0.064,0.064,CRO,COMMENSAL
0.19,0.19,CRO,COMMENSAL
0.064,0.064,CRO,COMMENSAL
1,1,CRO,COMMENSAL
0.012,0.012,CRO,COMMENSAL
0.016,0.016,CFX,NG
0.023,0.023,CFX,NG
0.016,0.016,CFX,NG
0.016,0.016,CFX,NG
0.016,0.016,CFX,NG
0.016,0.016,CFX,NG
0.5,0.5,CFX,COMMENSAL
0.016,0.016,CFX,COMMENSAL
0.032,0.032,CFX,COMMENSAL
0.25,0.25,CFX,COMMENSAL
0.064,0.064,CFX,COMMENSAL
0.016,0.016,CFX,COMMENSAL
0.064,0.064,CFX,COMMENSAL
0.125,0.125,CFX,COMMENSAL
0.125,0.125,CFX,COMMENSAL
0.047,0.047,CFX,COMMENSAL
0.38,0.38,CFX,COMMENSAL
0.5,0.5,CFX,COMMENSAL
0.064,0.064,CFX,COMMENSAL
0.25,0.25,CFX,COMMENSAL
0.064,0.064,CFX,COMMENSAL
0.047,0.047,CFX,COMMENSAL
0.023,0.023,CFX,COMMENSAL
0.25,0.25,CFX,COMMENSAL
2,2,CFX,COMMENSAL
0.064,0.064,CFX,COMMENSAL
1.5,1.5,TET,NG
1.5,1.5,TET,NG
0.75,0.75,TET,NG
2,2,TET,NG
1.5,1.5,TET,NG
32,8,TET,NG
4,4,TET,COMMENSAL
2,2,TET,COMMENSAL
0.38,0.38,TET,COMMENSAL
0.75,0.75,TET,COMMENSAL
1.5,1.5,TET,COMMENSAL
0.5,0.5,TET,COMMENSAL
2,2,TET,COMMENSAL
3,3,TET,COMMENSAL
1,1,TET,COMMENSAL
2,2,TET,COMMENSAL
0.5,0.5,TET,COMMENSAL
48,8,TET,COMMENSAL
6,6,TET,COMMENSAL
1,1,TET,COMMENSAL
4,4,TET,COMMENSAL
0.5,0.5,TET,COMMENSAL
0.75,0.75,TET,COMMENSAL
0.75,0.75,TET,COMMENSAL
0.5,0.5,TET,COMMENSAL
0.75,0.75,TET,COMMENSAL
0.25,0.25,AZI,NG
0.125,0.125,AZI,NG
0.064,0.064,AZI,NG
1.5,1.5,AZI,NG
0.38,0.38,AZI,NG
0.094,0.094,AZI,NG
4,4,AZI,COMMENSAL
8,8,AZI,COMMENSAL
0.5,0.5,AZI,COMMENSAL
1.5,1.5,AZI,COMMENSAL
1.5,1.5,AZI,COMMENSAL
0.38,0.38,AZI,COMMENSAL
8,8,AZI,COMMENSAL
8,8,AZI,COMMENSAL
3,3,AZI,COMMENSAL
0.5,0.5,AZI,COMMENSAL
2,2,AZI,COMMENSAL
4,4,AZI,COMMENSAL
12,8,AZI,COMMENSAL
6,6,AZI,COMMENSAL
8,8,AZI,COMMENSAL
0.25,0.25,AZI,COMMENSAL
0.75,0.75,AZI,COMMENSAL
2,2,AZI,COMMENSAL
0.25,0.25,AZI,COMMENSAL
0.25,0.25,AZI,COMMENSAL
0.004,0.004,CIP,NG
0.006,0.006,CIP,NG
0.006,0.006,CIP,NG
32,8,CIP,NG
6,6,CIP,NG
4,4,CIP,NG
6,6,CIP,COMMENSAL
0.032,0.032,CIP,COMMENSAL
0.25,0.25,CIP,COMMENSAL
0.008,0.008,CIP,COMMENSAL
0.016,0.016,CIP,COMMENSAL
0.008,0.008,CIP,COMMENSAL
0.125,0.125,CIP,COMMENSAL
0.032,0.032,CIP,COMMENSAL
0.023,0.023,CIP,COMMENSAL
0.012,0.012,CIP,COMMENSAL
0.75,0.75,CIP,COMMENSAL
0.047,0.047,CIP,COMMENSAL
0.125,0.125,CIP,COMMENSAL
0.75,0.75,CIP,COMMENSAL
0.064,0.064,CIP,COMMENSAL
0.006,0.006,CIP,COMMENSAL
0.023,0.023,CIP,COMMENSAL
0.094,0.094,CIP,COMMENSAL
0.094,0.094,CIP,COMMENSAL
0.125,0.125,CIP,COMMENSAL